,mRMR,Elastic Net,Mutual Information,RFE,n_methods,n_stable
CTD_D_hydrophobicity_g1_50,True,False,True,False,2,2
CTD_D_hydrophobicity_g3_0,True,False,True,False,2,2
CTD_D_polarity_g1_25,True,False,True,False,2,2
CTD_D_polarity_g2_0,True,False,True,False,2,2
CTD_D_secondary_structure_g1_75,False,False,True,True,2,2
CTD_D_secondary_structure_g2_100,True,False,True,False,2,2
CTD_D_solvent_accessibility_g1_25,True,False,True,False,2,2
CTD_D_solvent_accessibility_g1_50,False,False,True,True,2,2
CTD_D_solvent_accessibility_g3_75,True,False,True,False,2,2
CTD_D_vdw_volume_g1_100,True,False,True,False,2,2
CTD_D_vdw_volume_g2_75,True,False,True,False,2,2
DPC_AH,True,True,False,False,2,2
DPC_AV,False,True,False,True,2,2
DPC_KD,True,True,False,False,2,2
DPC_KR,True,True,False,False,2,2
DPC_KS,True,True,False,False,2,2
DPC_LH,True,True,False,False,2,2
DPC_QY,True,True,False,False,2,2
DPC_WY,True,True,False,False,2,2
HydrophobicFrac,True,False,True,False,2,2
NetCharge,False,False,True,True,2,2
AAC_G,False,False,True,True,2,1
CTD_C_polarity_g2,True,False,True,False,2,1
CTD_C_polarity_g3,False,False,True,True,2,1
CTD_C_polarizability_g1,True,False,True,False,2,1
CTD_C_secondary_structure_g2,False,False,True,True,2,1
CTD_D_charge_g1_0,False,False,True,True,2,1
CTD_D_hydrophobicity_g1_0,False,False,True,True,2,1
CTD_D_hydrophobicity_g2_100,True,False,True,False,2,1
CTD_D_hydrophobicity_g2_75,False,False,True,True,2,1
CTD_D_hydrophobicity_g3_75,False,False,True,True,2,1
CTD_D_polarity_g2_50,False,False,True,True,2,1
CTD_D_polarizability_g1_25,False,False,True,True,2,1
CTD_D_polarizability_g1_50,False,False,True,True,2,1
CTD_D_polarizability_g2_50,False,False,True,True,2,1
CTD_D_secondary_structure_g1_50,True,False,True,False,2,1
CTD_D_secondary_structure_g2_75,False,False,True,True,2,1
CTD_D_secondary_structure_g3_25,False,True,True,False,2,1
CTD_D_solvent_accessibility_g1_75,False,False,True,True,2,1
CTD_D_solvent_accessibility_g3_25,False,False,True,True,2,1
CTD_D_vdw_volume_g2_25,False,False,True,True,2,1
CTD_D_vdw_volume_g3_25,False,False,True,True,2,1
CTD_T_charge_12,False,False,True,True,2,1
CTD_T_hydrophobicity_13,False,False,True,True,2,1
CTD_T_polarity_13,False,False,True,True,2,1
CTD_T_polarizability_12,False,False,True,True,2,1
CTD_T_secondary_structure_23,False,False,True,True,2,1
CTD_T_solvent_accessibility_12,False,False,True,True,2,1
CTD_T_solvent_accessibility_13,False,False,True,True,2,1
CTD_T_vdw_volume_13,False,False,True,True,2,1
DPC_GT,True,True,False,False,2,1
DPC_HA,True,True,False,False,2,1
DPC_LA,True,True,False,False,2,1
DPC_LW,True,True,False,False,2,1
DPC_PF,True,True,False,False,2,1
DPC_SI,True,True,False,False,2,1
DPC_SV,True,True,False,False,2,1
DPC_VP,True,True,False,False,2,1
K_frac,False,False,True,True,2,1
pI,False,False,True,True,2,1
AAC_L,False,False,True,True,2,0
CTD_C_polarity_g1,True,False,True,False,2,0
CTD_C_solvent_accessibility_g1,False,False,True,True,2,0
CTD_D_charge_g3_100,True,False,False,True,2,0
CTD_T_hydrophobicity_23,False,False,True,True,2,0
CTD_T_polarity_12,False,False,True,True,2,0
DPC_AA,False,True,False,True,2,0
DPC_AD,True,True,False,False,2,0
DPC_CE,False,True,False,True,2,0
DPC_CG,False,True,False,True,2,0
DPC_DH,True,True,False,False,2,0
DPC_EF,False,True,False,True,2,0
DPC_EK,False,True,False,True,2,0
DPC_EL,False,True,False,True,2,0
DPC_FI,True,True,False,False,2,0
DPC_FL,False,True,False,True,2,0
DPC_FP,True,True,False,False,2,0
DPC_FV,True,True,False,False,2,0
DPC_GI,False,True,False,True,2,0
DPC_GK,False,True,False,True,2,0
DPC_GS,True,True,False,False,2,0
DPC_HC,False,True,False,True,2,0
DPC_HS,False,True,False,True,2,0
DPC_IA,False,True,False,True,2,0
DPC_IK,False,True,False,True,2,0
DPC_IN,False,True,False,True,2,0
DPC_IR,False,True,False,True,2,0
DPC_IS,True,True,False,False,2,0
DPC_KC,False,True,False,True,2,0
DPC_LF,True,True,False,False,2,0
DPC_MP,True,True,False,False,2,0
DPC_NF,True,True,False,False,2,0
DPC_NM,False,True,False,True,2,0
DPC_NS,False,True,False,True,2,0
DPC_QI,True,True,False,False,2,0
DPC_RY,True,True,False,False,2,0
DPC_SA,False,True,False,True,2,0
CTD_C_charge_g1,False,False,True,False,1,1
CTD_C_charge_g2,False,False,True,False,1,1
CTD_C_hydrophobicity_g1,False,False,True,False,1,1
CTD_C_vdw_volume_g2,False,False,True,False,1,1
CTD_D_hydrophobicity_g1_25,False,False,True,False,1,1
CTD_D_hydrophobicity_g2_50,False,False,True,False,1,1
CTD_D_hydrophobicity_g3_50,False,False,True,False,1,1
CTD_D_polarity_g1_50,False,False,True,False,1,1
CTD_D_polarity_g1_75,False,False,True,False,1,1
CTD_D_polarity_g2_75,False,False,True,False,1,1
CTD_D_polarity_g3_0,False,False,True,False,1,1
CTD_D_polarity_g3_25,False,False,True,False,1,1
CTD_D_secondary_structure_g2_50,False,False,True,False,1,1
CTD_D_vdw_volume_g1_75,False,False,True,False,1,1
CTD_D_vdw_volume_g3_50,False,False,True,False,1,1
CTD_T_polarizability_23,False,False,True,False,1,1
CTD_T_vdw_volume_12,False,False,True,False,1,1
CTD_T_vdw_volume_23,False,False,True,False,1,1
DPC_IF,False,True,False,False,1,1
DPC_NV,False,True,False,False,1,1
DPC_NW,False,True,False,False,1,1
DPC_PI,False,True,False,False,1,1
AAC_C,False,False,True,False,1,0
AAC_Q,False,False,False,True,1,0
CTD_C_hydrophobicity_g2,False,False,True,False,1,0
CTD_C_hydrophobicity_g3,False,False,False,True,1,0
CTD_C_polarizability_g2,False,False,True,False,1,0
CTD_C_solvent_accessibility_g3,False,False,True,False,1,0
CTD_D_charge_g2_50,False,False,True,False,1,0
CTD_D_charge_g3_50,True,False,False,False,1,0
DPC_AP,False,True,False,False,1,0
DPC_CD,False,True,False,False,1,0
DPC_CF,False,True,False,False,1,0
DPC_CM,False,True,False,False,1,0
DPC_CS,False,True,False,False,1,0
DPC_CT,False,True,False,False,1,0
DPC_CY,False,True,False,False,1,0
DPC_DA,False,True,False,False,1,0
DPC_DK,False,True,False,False,1,0
DPC_DL,False,False,False,True,1,0
DPC_DM,False,False,False,True,1,0
DPC_DP,False,False,False,True,1,0
DPC_DQ,False,False,False,True,1,0
DPC_DS,False,False,False,True,1,0
DPC_DT,False,False,False,True,1,0
DPC_DV,False,True,False,False,1,0
DPC_DW,False,False,False,True,1,0
DPC_EE,False,False,False,True,1,0
DPC_EH,False,True,False,False,1,0
DPC_EN,False,False,False,True,1,0
DPC_ER,False,True,False,False,1,0
DPC_ES,False,True,False,False,1,0
DPC_EV,False,True,False,False,1,0
DPC_FC,False,True,False,False,1,0
DPC_FF,True,False,False,False,1,0
DPC_FH,True,False,False,False,1,0
DPC_FK,True,False,False,False,1,0
DPC_FN,True,False,False,False,1,0
DPC_FQ,False,True,False,False,1,0
DPC_FR,True,False,False,False,1,0
DPC_FW,False,True,False,False,1,0
DPC_FY,True,False,False,False,1,0
DPC_GD,False,True,False,False,1,0
DPC_GG,False,False,False,True,1,0
DPC_GV,False,False,False,True,1,0
DPC_GY,False,True,False,False,1,0
DPC_HD,False,True,False,False,1,0
DPC_HL,True,False,False,False,1,0
DPC_HN,False,True,False,False,1,0
DPC_HR,False,True,False,False,1,0
DPC_HT,False,True,False,False,1,0
DPC_ID,True,False,False,False,1,0
DPC_IE,False,True,False,False,1,0
DPC_IM,False,False,False,True,1,0
DPC_IT,False,True,False,False,1,0
DPC_KA,False,True,False,False,1,0
DPC_KG,True,False,False,False,1,0
DPC_KI,False,False,False,True,1,0
DPC_KN,True,False,False,False,1,0
DPC_KP,False,True,False,False,1,0
DPC_LC,False,True,False,False,1,0
DPC_LD,False,True,False,False,1,0
DPC_LE,False,True,False,False,1,0
DPC_LG,False,False,False,True,1,0
DPC_LK,False,True,False,False,1,0
DPC_LN,False,True,False,False,1,0
DPC_LR,False,True,False,False,1,0
DPC_LV,False,True,False,False,1,0
DPC_LY,True,False,False,False,1,0
DPC_MA,False,True,False,False,1,0
DPC_MF,True,False,False,False,1,0
DPC_NE,False,True,False,False,1,0
DPC_NG,False,True,False,False,1,0
DPC_NH,False,True,False,False,1,0
DPC_NQ,True,False,False,False,1,0
DPC_NY,False,True,False,False,1,0
DPC_PE,False,True,False,False,1,0
DPC_PG,False,True,False,False,1,0
DPC_PH,False,True,False,False,1,0
DPC_PK,False,True,False,False,1,0
DPC_PM,False,True,False,False,1,0
DPC_PV,False,True,False,False,1,0
DPC_PW,True,False,False,False,1,0
DPC_QA,False,True,False,False,1,0
DPC_QG,False,True,False,False,1,0
DPC_QK,False,True,False,False,1,0
DPC_QM,False,True,False,False,1,0
DPC_QN,False,True,False,False,1,0
DPC_QQ,False,True,False,False,1,0
DPC_QT,False,True,False,False,1,0
DPC_QV,False,True,False,False,1,0
DPC_RD,False,True,False,False,1,0
DPC_RH,False,True,False,False,1,0
DPC_RQ,False,True,False,False,1,0
DPC_RT,False,True,False,False,1,0
DPC_RW,False,True,False,False,1,0
DPC_SF,False,True,False,False,1,0
DPC_SG,True,False,False,False,1,0
DPC_SH,False,True,False,False,1,0
DPC_SK,True,False,False,False,1,0
DPC_SN,False,True,False,False,1,0
DPC_TC,False,True,False,False,1,0
DPC_TD,False,True,False,False,1,0
DPC_TF,False,True,False,False,1,0
DPC_TI,True,False,False,False,1,0
DPC_TK,False,True,False,False,1,0
DPC_TL,False,True,False,False,1,0
DPC_TN,False,True,False,False,1,0
DPC_TP,False,True,False,False,1,0
DPC_TT,False,True,False,False,1,0
DPC_VA,False,True,False,False,1,0
DPC_VE,False,True,False,False,1,0
DPC_VI,False,True,False,False,1,0
DPC_VM,False,True,False,False,1,0
DPC_VN,False,True,False,False,1,0
DPC_VT,False,True,False,False,1,0
DPC_VV,True,False,False,False,1,0
DPC_VY,True,False,False,False,1,0
DPC_WD,False,True,False,False,1,0
DPC_WF,True,False,False,False,1,0
DPC_WG,False,True,False,False,1,0
DPC_WK,False,True,False,False,1,0
DPC_WL,True,False,False,False,1,0
DPC_WM,False,True,False,False,1,0
DPC_WW,False,True,False,False,1,0
DPC_YA,True,False,False,False,1,0
DPC_YC,False,True,False,False,1,0
DPC_YE,False,True,False,False,1,0
DPC_YH,True,False,False,False,1,0
DPC_YL,False,True,False,False,1,0
DPC_YV,False,True,False,False,1,0
E_frac,True,False,False,False,1,0
GRAVY,False,False,False,True,1,0
R_frac,False,False,False,True,1,0
