,mRMR,Elastic Net,Mutual Information,RFE,n_methods,n_stable
CTD_D_charge_g2_0,True,True,True,True,4,4
CTD_D_charge_g2_25,True,True,True,True,4,3
CTD_C_secondary_structure_g3,True,True,True,True,4,2
CTD_D_polarizability_g2_100,True,True,True,True,4,2
CTD_D_vdw_volume_g3_0,True,True,True,True,4,1
CTD_C_secondary_structure_g1,True,True,True,True,4,0
CTD_D_secondary_structure_g3_75,True,True,True,True,4,0
AAC_S,True,True,False,True,3,3
CTD_D_hydrophobicity_g2_0,True,True,True,False,3,3
CTD_D_secondary_structure_g3_0,True,True,True,False,3,2
CTD_D_solvent_accessibility_g1_0,True,True,True,False,3,2
CTD_D_vdw_volume_g1_0,True,True,True,False,3,2
CTD_D_solvent_accessibility_g3_100,True,True,False,True,3,1
CTD_T_secondary_structure_13,True,True,True,False,3,1
AromaticFrac,True,False,True,True,3,0
CTD_D_polarity_g2_100,True,True,False,True,3,0
CTD_D_polarity_g3_75,True,True,False,True,3,0
CTD_D_secondary_structure_g1_25,False,True,True,True,3,0
CTD_D_solvent_accessibility_g1_25,True,True,True,False,3,0
CTD_T_secondary_structure_12,False,True,True,True,3,0
AAC_A,False,True,False,True,2,2
CTD_D_polarity_g2_0,True,False,True,False,2,2
CTD_D_secondary_structure_g3_100,True,True,False,False,2,2
Length,False,False,True,True,2,2
AAC_T,False,True,False,True,2,1
CTD_D_polarizability_g1_75,True,True,False,False,2,1
CTD_D_secondary_structure_g1_100,True,True,False,False,2,1
CTD_D_secondary_structure_g2_0,True,False,True,False,2,1
CTD_D_vdw_volume_g2_100,True,True,False,False,2,1
HydrophobicFrac,True,False,True,False,2,1
AAC_I,False,True,False,True,2,0
AAC_N,False,True,False,True,2,0
CTD_D_charge_g1_25,False,False,True,True,2,0
CTD_D_charge_g2_100,True,True,False,False,2,0
CTD_D_charge_g3_100,False,True,False,True,2,0
CTD_D_hydrophobicity_g1_75,False,False,True,True,2,0
CTD_D_hydrophobicity_g2_75,False,True,True,False,2,0
CTD_D_hydrophobicity_g3_25,True,True,False,False,2,0
CTD_D_polarity_g3_0,False,True,True,False,2,0
CTD_D_polarity_g3_25,False,True,True,False,2,0
CTD_D_secondary_structure_g2_100,True,True,False,False,2,0
CTD_D_secondary_structure_g3_25,False,True,True,False,2,0
CTD_D_secondary_structure_g3_50,False,True,False,True,2,0
CTD_D_solvent_accessibility_g1_100,True,True,False,False,2,0
CTD_D_solvent_accessibility_g3_0,False,False,True,True,2,0
CTD_D_solvent_accessibility_g3_50,False,True,False,True,2,0
CTD_D_vdw_volume_g1_25,False,False,True,True,2,0
CTD_D_vdw_volume_g1_50,False,True,False,True,2,0
CTD_D_vdw_volume_g2_0,False,True,True,False,2,0
CTD_D_vdw_volume_g2_50,False,False,True,True,2,0
CTD_D_vdw_volume_g2_75,True,False,True,False,2,0
CTD_T_solvent_accessibility_23,False,True,False,True,2,0
R_frac,False,True,False,True,2,0
pI,False,False,True,True,2,0
CTD_D_hydrophobicity_g1_100,True,False,False,False,1,1
CTD_D_hydrophobicity_g3_0,True,False,False,False,1,1
CTD_D_polarity_g1_0,True,False,False,False,1,1
CTD_D_polarity_g3_100,True,False,False,False,1,1
CTD_D_polarizability_g1_0,False,False,True,False,1,1
CTD_D_polarizability_g1_100,True,False,False,False,1,1
CTD_D_polarizability_g2_0,True,False,False,False,1,1
CTD_D_vdw_volume_g1_100,True,False,False,False,1,1
AAC_C,False,True,False,False,1,0
AAC_G,False,True,False,False,1,0
AAC_M,False,True,False,False,1,0
AAC_V,False,False,False,True,1,0
CTD_C_hydrophobicity_g1,False,False,False,True,1,0
CTD_C_secondary_structure_g2,False,False,True,False,1,0
CTD_C_vdw_volume_g2,False,True,False,False,1,0
CTD_D_charge_g1_0,False,False,True,False,1,0
CTD_D_charge_g1_50,False,False,False,True,1,0
CTD_D_charge_g1_75,True,False,False,False,1,0
CTD_D_charge_g3_75,False,True,False,False,1,0
CTD_D_hydrophobicity_g1_0,False,False,True,False,1,0
CTD_D_hydrophobicity_g1_25,False,False,True,False,1,0
CTD_D_hydrophobicity_g1_50,False,False,True,False,1,0
CTD_D_hydrophobicity_g2_100,False,True,False,False,1,0
CTD_D_hydrophobicity_g3_100,True,False,False,False,1,0
CTD_D_hydrophobicity_g3_75,False,True,False,False,1,0
CTD_D_polarity_g1_25,True,False,False,False,1,0
CTD_D_polarity_g2_50,False,False,False,True,1,0
CTD_D_polarity_g2_75,False,True,False,False,1,0
CTD_D_polarizability_g1_50,False,True,False,False,1,0
CTD_D_secondary_structure_g1_0,False,False,True,False,1,0
CTD_D_secondary_structure_g1_75,False,True,False,False,1,0
CTD_D_secondary_structure_g2_75,False,False,True,False,1,0
CTD_D_vdw_volume_g2_25,False,False,False,True,1,0
CTD_D_vdw_volume_g3_75,False,True,False,False,1,0
CTD_T_hydrophobicity_12,False,False,False,True,1,0
CTD_T_hydrophobicity_13,False,False,False,True,1,0
CTD_T_hydrophobicity_23,False,True,False,False,1,0
CTD_T_polarity_13,False,False,False,True,1,0
CTD_T_polarizability_12,False,True,False,False,1,0
CTD_T_polarizability_13,False,True,False,False,1,0
CTD_T_secondary_structure_23,False,False,False,True,1,0
CTD_T_solvent_accessibility_13,False,True,False,False,1,0
D_frac,False,True,False,False,1,0
H_frac,False,True,False,False,1,0
NetCharge,False,True,False,False,1,0
